品名,單位,重量,熱量
鵪鶉鐵蛋,1粒,,87.2
麒麟啤酒,,350毫升,147
鰈,,100克,107
鰈[比目魚，凸眼魚],,100克,107
糯小米,1盤,,147.6
蘇木梨,,100克,48
鹹水蝦,,30克,29.4
鹹冬瓜滷白蘿蔔,,373克,41.4
鹹冬瓜蒸鮮魚,,90.9克,82.8
麵包屑,,100克,355
麵包魚,,100克,83
麵包條,,100克,283
蘇打餅乾,,100克,408
鹹肉,,100克,390
糯米[江米],,100克,348
蘇式月餅,,72.2克,328.5
糯米百合糖水,,232.5克,116.7
糯米冰棒,,84.7克,62.6
糯米南瓜盅,,800克,1263
鹹肉扁尖炒冬瓜,,250克,213
糯米甜粥,,40克,140.7
糯米飯團,,100克,333
糯米蒸排骨,,740克,1956
糯米漿,1個,,122.4
糯米藕,,275克,381
鹹豆漿,1杯,,88.8
鹹沙蔥[蒙古韭],,100克,25
蘋果：富士,1,,粒
蘋果牛奶,,350克,175
蠔油牛肉,,431克,671
蠔油生菜,,318克,90
蘋果汁飲料,,100克,54
蘋果汁飲料,,100克,50
蘋果西打,,350毫升,240
蘋果西打飲料,1缶,,147
蘋果西芹汁,,460克,70.8
蠔油拌冬粉,,65克,259
蠔油青江,,123克,97
蘋果果肉飲料,,100克,44
蠔油拌青江菜,,110克,31.5
蠔油芥藍牛肉,,108.8克,66.4
蠔油芥蘭,,60克,64.9
蘋果派,1份,,250
蘋果紅蘿蔔汁,,201克,118.6
蘋果酒,,100克,42
蘋果酒,,100克,36
蘋果脯,,100克,337
蘋果梨,,100克,48
蘋果絲空心菜,,102.4克,44
蘋果蜂王乳,,240克,201.6
礦物質飲料,1缶,,110.4
蘋果醬,,100克,277
蠔油雞河粉,,362克,622.6
藿香,,100克,189
蘆柑,,100克,43
糯香酒,,100克,36
藿香葉,,100克,89
藿香葉,,100克,89
蠔香綠花椰,,160克,115.2
麵茶粉,1份,,83
糯高梁,1盤,,72.4
蘇格蘭羊肉湯,,183.1克,249
黨參牛肉砂鍋,,320克,393.6
鹹蛋炒飯,,239.4克,325.1
鹹蛋苦瓜,,82.5克,106
麵條魚,,100克,105
蘇梅梨,,100克,66
蘇梅蒸芙蓉,,145克,91.4
鹹麻薯,1個,,80
鹹麻糬,,38.4克,69.1
鹹粥,,110克,260.2
麵筋,1大匙,,127.6
蘆筍[石刁柏，龍鬚菜],,100克,19
麵筋,,100克,364
蘆筍干貝,,140克,168
蘆筍手卷,,134克,379.5
蘆筍火腿卷,,119.9克,364.6
蘆筍百合,,312克,306
麵筋泡,,20克,120
蘆筍炒小卷,,107.5克,96.6
蘆筍炒肉絲,,85克,91.8
蘆筍炒杏鮑菇,,95克,25.7
獼猴桃晶,,100克,390
蘆筍培根卷,,149克,391.9
蘑菇義大利麵,,60克,348
蘑菇精,100毫升,,160
蘑菇滷肉飯,,315克,558.4
蘑菇醬,1個,,5.8
蠔菇罐頭,1碟,,15.5
麵腸,1份,,54.4
鹹圓仔菜湯,,124.2克,190
麵窩,,100克,289
鹹餅1片,,5.9克,30.4
藻精飲料,1缶,,29
鹹鴨蛋黃,1個,,109.6
蘆薈蘋果醋,,185克,33.3
蘆薈蘋果露,,404.9克,149.8
蘆薈露飲料,1缶,,103.2
鹹馧仔,1兩,,77.7
寶礦力,350毫升,,343
鹹麵包,,100克,274
鹹糯米飯,,80克,272.2
寶寶福,,100克,390
魔幻高麗菜捲,,265克,437.2
癩瓜,,100克,19
鐵色草,,100克,60
蘭州魯汁牛肉炒麵,,385克,966.3
魔芋精粉,,100克,37
魔芋精粉[鬼芋粉，南星粉],,100克,37
鐵板牛肉炒麵,,100克,438
鐵板牛柳,,43克,59.6
鐵板牛柳披薩,,37.5克,74
櫻花麻糬,,38.1克,96
鐵板豬肝,,85克,139.4
櫻花蝦炒飯,,125克,220.1
鐵板薑汁豆腐燒,,149克,208.6
蘭香,,100克,18
櫻桃牛奶燕麥,,365克,337.6
櫻桃奶油焗派,,110克,342
櫻桃番茄,,100克,22
櫻桃番茄[小番茄],,100克,22
櫻桃蕃茄優格,,389.9克,296.3
櫻桃蘿蔔,,100克,9
櫻桃蘿蔔纓,,100克,9
櫻桃罐頭,1個,,55.6
鐵蛋,1粒,,74.4
鰩魚,,100克,90
鰩魚[夫魚],,100克,90
灌腸,,100克,134
鶯餅,,47.1克,170.1
鐵質茄紅素果汁,,240克,115.2
鐵觀音茶,,100克,304
鬚赤對蝦,1個,,26.7
鰱胡,,100克,103
鱈狹,,100克,88
鰳魚,,100克,159
鰱魚[白鰱，胖子，連子魚],,100克,84
鰳魚[快魚，力魚],,100克,159
鱈魚[鱈狹，明太魚],,100克,88
鱈魚丸,1盤,,73
鱈魚丸子,,42克,118.8
鱈魚肝,,102克,103.1
鱈魚豆笛,1盤,,75
鰻魚堅果手卷,,67克,181.6
鱈魚速食麵,,100克,470
鰻魚罐頭,1個,,240
籠蒸大閘蟹,,498克,163
鰻鱺,,100克,181
鰻鱺[鰻魚，河鰻],,100克,181
驚心動魄,,153.9克,278.6
纖美紅果汁,,360克,255.6
鱖魚,,100克,117
鱒魚,,100克,99
鱒魚[紅鱒魚],,100克,99
鱖魚[桂魚，花鯽魚],,100克,117
鱔魚麵,,231.5克,410
蘿蔔：白蘿蔔,1碟,,15
蘿蔔炒皇帝豆,,97.5克,98.8
蘿蔔海蜒湯,,173克,165
蘿蔔魚丸湯,,267.5克,50.3
蘿蔔乾厚蛋燒,,227克,313.2
蘿蔔排骨湯,,250克,78
蘿蔔乾煎蛋,,61.3克,59.5
蘿蔔酥,,54.4克,236.2
蘿蔔湯,,120克,114.6
蘿蔔豬肚湯,,517.5克,115.3
蘿蔔燉牛肉,,200克,120.2
蘿蔔燉肉,,425克,292
蘿蔔燒雞,,1175克,1275
蘿蔔纓,,100克,20
蘿蔔纓,,100克,14
蘿蔔纓,,100克,32
變頭紅菇,,100克,15
變蘿蔔,,100克,15
變蘿蔔[紅皮蘿蔔],,100克,15
鹽水白米蝦,,366克,291
鹽水蝦,,20克,19.6
鹽水鴨,,100克,313
鹽水鴨肫,,89.8克,255.9
釀皮,,100克,106
蠶豆,1個,,90.4
蠶豆,1個,,161
蠶豆,,100克,342
蠶豆,,100克,446
蠶豆,,100克,372
蠶豆,,100克,304
蠶豆,,100克,62
蠶豆,,100克,104
蠶豆澱粉,,100克,341
靈芝女丹茶,,64克,150.4
靈芝飲料,1缶,,12
鹽烤鮭魚,,15克,24
鹽蛋苦瓜,,152.4克,120.7
蠶蛹,,100克,230
靈蜜瓜,,100克,3
釀翡翠椒,,178克,199.3
鷹嘴豆[桃豆],,100克,316
鹽燒蛤蠣,,44克,20.5
鱭魚,,100克,106
鱭魚,,100克,106
鱭魚,,100克,124
觀達菜,,100克,14
觀達菜[根達菜，牛皮菜],,100克,14
觀達菜[根達菜、牛皮菜],,100克,18
饞嘴牛蛙,,790克,650
驢打滾,,100克,194
驢肉,,100克,167
驢肉,,100克,151
驢肉,,100克,230
驢肉,,100克,116
驢肉,,100克,160
驢鞭,,100克,143
鱸花,,100克,105
鱸魚[鱸花],,100克,105
鬱李仁,,100克,484
鱺魚,1兩,,41.6
100%純柳橙汁,1瓶,220cc,62
100%純鮮乳,,240cc,150
100%葡萄汁,1瓶,220cc,157
20%蘆筍汁,,250cc,90
24世紀冬梨,2/5個,155克,60 大卡
30%芭樂汁,,250cc,103
30%柳橙汁,,250cc,125
30%楊桃汁,,250cc,110
30%葡萄汁,,250cc,108
30%葡萄柚汁,,250cc,93
3合1即沖咖啡麥斯威爾,1杯,,60
40%果菜汁,,250cc,108
7 - Eleven乳酪烤布丁,1個,,275
7 - Eleven烤布丁,1個,,250
77 愛慕爾派巧克力或牛奶胚芽口味,,,40
77大波露巧克力牛奶,1包,45克,266
77大波露巧克力原味,1包,45克,238
77巧菲斯 牛奶,1條,13克,70
77乳加 E 吉棒,1條,,162
77乳加巧克力,1條,22克,109
77愛慕爾薄派巧克力 藍莓,1片,12克,66
77愛慕爾薄派巧克力 綠茶,1片,10克,56
77新貴自然果酥,2片,26克,138
77新貴派巧克力,1片,16克,85
77新貴派巧克力 乳酸,1片,13克,73
77新貴派起酥,1片,10克,58
77歐維氏巧克力,1條,45克,230
77歐維氏脆果巧克力,1條,45克,246.6
一般魚類,,35克,55
一般魚類,,35克,55 大卡
七喜汽水,1瓶,355cc,135
人造牛油,1 湯匙,,100
八爪魚壽司,1件,,48
八寶粥,1罐,380cc,330
三文魚壽司,1件,,57
三合一咖啡,1包,,50
三色蛋,,50克,86
三角手捲,1個,,210
三角油豆腐,2塊,,95
三角油豆腐,1塊,,39
三角薯餅,4小塊,,330
三鮮燴飯,1份,400克,528
三寶飯,1碟,,640
上校雞塊,6塊,,286
上海麵,1碗,,207
千島醬,1大匙,15克,57
千層薄餅,1個,,295
叉燒 半肥瘦,1客,100克,400
叉燒 瘦,,100克,220
叉燒包,1個,,160
叉燒包,1個,100克,263
叉燒包,1個,,265
叉燒包4個,,,560
叉燒餐包,1個,,250
土司麵包,1片,50克,150
士力架巧克力,1條,58.7克,280
士多啤梨活乳酸蘆薈爽,,300 ml,156.8
大亨堡,1個,,450
大豆油,15ml,14克,120
大豆油,1湯匙,15克,132
大豆油,,15ml,120
"大豆油, 葵花油",1 湯匙,,120
大麥、小麥、簥麥、燕麥…等,,20克,70 大卡
大黃瓜,,100克,25 大卡
大雞腿,1隻,4兩,209
小方豆干,1塊,,51
小水煎包,1個,,110
小羊羹,2個,,65
小卷鹹,,35克,55
小法國麵包,60,,240
小美芋泥米台目,1支,,154
小美紅豆粉粿,1支,,185
小美綠豆粉粿,1支,,175
小草莓,1個,,4
小麥草汁,,317克,1.6
小湯圓,約10粒,30克,70 大卡
小溫蒂漢堡,1個,,377
小漢堡,1個,,263
小蝦米、牡蠣干,,20克,55 大卡
小餐包,2個,,180
小龍包,1個,42克,101
小蘋果,1個含皮,,80
小籠包,1個,,55
小籠包,8顆,,960
小籠包,1個,,70
小籠包,1個,,101
小籠包5個,,,600
山竹牛肉,1件,,96
山東饅頭,1個,180克,445
山楂,1粒,,22
干貝 乾,,10克,73
干貝乾,,10克,73
干絲,8 ~ 9條,25克,75
干絲,2湯匙,,75
干絲、百頁、百頁結,,25克,75 大卡
干燒伊麵,1碟,,1272
不二家 peko 巧克力,1盒,40克,166
不二家 poko 牛奶糖,1盒,40克,160
不二家牛奶糖,,,491
不二家巧克力,1盒,26克,142
不二家超濃牛奶糖,1盒,40克,172
中華豆腐,1盒,300克,159
中華拉麵,1碗,,530
中量級脆皮巧克力,1個,,200
中蝦,3隻,,55
丹麥奶酥餅乾,,30克,148
丹麥奇異果派,,100克,220
五香肉丁公仔麵,1碗,,679
五香肉丁炒出前一丁,1碟,,1210
五香豆干,2張半,45克,73
五香豆干,,45克,75 大卡
五香豆干,1塊,,84
五香豆乾,1份,,83.7
五香豆乾,,100克,380
什錦三明治,1份,,447
什錦比薩,,100克,300
什錦炒飯,1碟,,670
什錦炒飯,1份,,800
什錦炒麵,1份,,860
什錦燴飯,1份,430克,530
元本山海苔,,,34
午餐肉,1罐,400克,350
午餐肉炒出前一丁,1碟,,1358
天婦羅,3片,,160
天婦羅湯麵,1碗,,456
太陽瓜,,240克,60 大卡
太陽餅,1個,,205
孔雀香酥脆,1包,70克,300
孔雀餅乾,1包,135克,630
巴西果仁,,1oz,185
廿世紀水梨,1個,6兩,69
手捲壽司,1個,,210
方塊酥,1個,,70
方糖,2粒,,27
方糖,1塊,,60
方糖,2顆,,27
日本冬菇,,100克,38
日本舞菇,,100克,28
日式冷麵,1碗,,276
日式靖魚,,90克,255
日式餃子,1隻,,62
日式餃子,1件,,48
日式醬汁焗雜菌,1份,,120
月餅豆沙,,100克,405
月餅棗泥,,100克,424
木瓜牛乳,1瓶,500cc,315
木耳濕,,100克,25 大卡
比吉司,1個,,223
毛豆 另多含醣10g,,50克,73
毛豆另多含醣10g,,50克,73
水果百匯慕斯1塊,,,282
水果涼酒5%,1罐,,200
水果蛋糕,1塊,,297
水果軟糖,4塊,,150
水果醬,,100克,400
水煮,1個,50克,80
水煮雞蛋,1個,,75
水煎包,2個,,260
水煎包,2個,,255
水煎包2個,,,255
水蜜桃罐頭,1/2個,,80
水蜜桃罐頭,1片,60克,39
水餃10個,,,535
水甕菜,,100克,25 大卡
火烤吉士,1個,,380
火烤漢堡,1個,,330
火腿+5g醣類,,45克,55
火腿炒飯,1碗,,470
火腿起司吐司厚片,100,,255
火腿蛋,1個,,420
火腿蛋餅,1份,,295
火腿通粉,1碗,,568
火腿飯,1份,,690
火腿煎蛋飯,1碟,,800
火鴨絲炆米,1碗,,588
火鍋牛肉片腿股肉,2片,1兩,58
火鍋豬肉片梅花肉片,2片,1兩,116
牛丸,1粒,,12
牛奶+豆類冰棒,1個,,160
牛奶+澱粉類冰棒,1個,,160
牛奶太妃糖,,100克,366
牛奶布丁,1杯,260克,320
牛奶糖,,,25
牛奶糖,5塊,,100
牛肉干,,20克,55 大卡
牛肉乾,,20克,55
牛肉乾,1個,,170
牛肉乾,,100克,475
牛肉乾,,100克,300
牛肉乾+10g醣類,,20克,55
牛肉飯,1碟,,630
牛肉蔬菜湯,1碗,,362
牛肉餡餅,1個,90克,200
牛肉餡餅,1個,,325
牛肉麵,1碗,,460
牛肉麵,1碗,,540
牛肉麵1碗,,,470
牛舌餅,1個,,75
牛肚、豬心、豬肝、,,40克,55 大卡
牛里肌肉,,30克,73
牛油,1茶匙,5克,45
牛油,1茶匙,,45
牛油焗薯,1個,,460
牛油糖,5粒,,105
牛肺,,100克,87.9
牛後腿,,100克,185.3
牛柏葉,1碟,,348
"牛排 小 瘦, 烤",1件,,155
牛排--去肥肉,1片,68克,130
牛排--帶肥肉,1片,85克,220
牛排醬,1湯匙,,20
牛排醬,1大匙,15克,21
牛腩、牛腱,,30克熟重,55 大卡
王子麵,,,452
王子麵,1包,,452
王子麵,1包,50克,220
世紀梨,1個,,61
仙貝,1粒,,35
仙草蜜,1瓶,300cc,80
冬莧菜,,100克,25 大卡
加州梨,1個,,60
加州葡萄,12個,4兩,78
加州葡萄,10個,,62
加州櫻桃,8個,2兩,53
加料仙貝,,100克,430
包心菜芽,1杯,155克,55
包餡魚丸,1個,,101
北海鱈魚香絲,1包,50克,250
北菇雞飯,1碗,,650
卡夫芝士,1塊,,63
卡迪那 牛排,1包,60克,338
卡迪那 泡菜,1包,60克,300
卡迪那 茄汁,1包,60克,312
卡迪那 德州薯條,1包,60克,322
卡啦雞腿堡,1份,,650
古道伯爵奶茶,1罐,,150
古道金桔檸檬,1罐,,200
可口可樂,,355 ml,144
可口可樂,1瓶,350cc,178
可口可樂雲呢拿味,,355 ml,168
可口可檸檬味無糖,,355 ml,0
可口奶滋,1包,230克,880
可口美酥,1包,150克,700
可口脆笛酥 巧克力,1包,80克,300
可果美胡蘿蔔汁,1瓶,350cc,109
可果美蕃茄汁,1瓶,350ml,64
可果美蕃茄汁,1罐,,60
可爾必思蘇打,1罐,350ml,165
可樂1瓶,,355cc,155
可樂1罐375cc,,,150
可樂果,1包,85克,420
可樂果,1包,,240
台富奶油夾心餅乾,1包,,570
台鳳純鳳梨汁,1瓶,350cc,168
台灣啤酒,,100cc,35
台灣啤酒,1罐,,120
台灣啤酒,1瓶,,200
台灣腸,1條,,244
司華力腸,1條,,320
奶昔,1杯,,360
奶昔,1杯,,80
奶昔 + 糖漿,1杯,,374
奶油小餐包,30,,120
奶油可頌,70,,520
奶油香蒜麵包,100,,330
奶油捲,65,,250
奶油糖,,30克,120
奶凍1／6捲,1個,,235
奶酥麵包,1/3個（小）,20克,70 大卡
奶酥麵包,1個,,45
奶酥麵包,85,,345
巧克力牛奶,1杯,,210
巧克力冰淇淋,1球,55克,100
巧克力佈朗尼,1個,,460
巧克力波提,1個,,240
巧克力厚片,1份,,380
巧克力脆皮冰棒,,,372
巧克力球,,,23
巧克力甜甜圈,1個,,281
巧克力甜筒小,1隻,,240
巧克力甜筒中,1隻,,360
巧克力蛋糕,1片,,320
巧克力蛋糕捲1塊,,,288
巧克力雪糕,1個,280,
巧克力棒,,,236
巧克力飲料,1杯,28克,100
巧克力聖代1客,,,310
巧克力鮮奶油蛋糕,1片,,320
巧克力鬆餅,1個,,280
巨峰提子味蒟蒻,3粒,,38.4
巨無霸,1個,,560
布丁1杯,,,140
布霖,1個,,35
本菇,,100克,32
本菇蔬菜沙律各40g,1份,,195
玉米火腿麵包,85,,275
玉米油,15ml,14克,120
"玉米油, 橄欖油",1 湯匙,,120
玉米湯,1杯,,114
玉米Muffins,1.5oz,約42克,180
玉蜀黍,,100克,25 大卡
玉蜀黍,1根,220克,144
瓜子白,1粒,,3.7
瓜子紅,1粒,,0.94
瓜子黑,1粒,,2.1
甘藷,1個,150克,148
生肋排,,8盎司,480
生炒牛肉飯,1碟,,1240
生蛋黃 含50%水份,1個,17克,65
生蛋黃含50%水份,1個,17克,65
生蛋黃含50%水份,1個,33克,15
生黃豆 另多含醣 5g,1匙半,20克,73
生黃豆另多含醣 5g,1匙半,20克,73
白切雞,1客,100克,198
白切雞,1塊,100克,200
白切雞脾,1隻,100克,200
白文旦,1/3個,190克,60 大卡
白年糕 芋粿,,30克,70 大卡
白海參,,100克,55 大卡
白菜肉捲,1條,,130
白饅頭,,100克,233
白警菇,,100克,36
白麵包,1片,25克,75
皮旦芫茜,,1000ml,32
皮蛋瘦肉粥,1碗,,367
石榴紅茶,1罐,,60
立頓奶茶,1瓶,250cc,115
立頓冰紅茶,1瓶,300cc,120
伊麵,1個,80克,404
光泉100%柳橙汁樂力包,1瓶,250ml,162
光泉100%葡萄汁樂力包,1瓶,250ml,141
光泉100%鮮榨柳橙原汁,1瓶,460ml,212
光泉100%鮮榨蘋果泥汁,1瓶,460ml,202
光泉100%蘋果汁樂力包,1瓶,250ml,142
光泉乳香世家玉米脆片鮮乳,,250cc,197
光泉咖啡凍,,130克,114
光泉法國布丁,1個,100克,119
光泉茉莉茶凍,,130克,110
光泉晶典小品咖啡凍,1個,130克,115
光泉晶典小品茶凍,1個,130克,110
光泉優酪乳 草莓,1瓶,550克,474
光泉優酪新貴,1個,170克,170
光泉檸檬茶凍,,130克,153
全脂牛奶,1杯,240ml,150
全脂牛奶雪糕、優酪乳雪糕,1個,,200
全脂奶,1杯,240毫升,150 大卡
全脂奶粉,4湯匙,35克,150 大卡
全脂奶粉,4湯匙,35克,150
全脂奶粉,4匙,35克,172
全脂奶粉,4湯匙,,150
全脂奶粉30g 加開水至1杯,3湯匙,,147
全脂優酪乳,1杯,227克,140
全脂鮮乳,1瓶,240cc,145
全麥吐司厚片,80,,200
全麥威化餅乾,2片,,35
全麥麵包,1片,25克,65
冰鎮紅茶,1罐,,120
印尼粉飯,1碟,,1451
各式花生,10粒,8克,45 大卡
合桃30克,7.5粒,,160
吉司大溫蒂堡,1個,,434
吉司烤洋芋,1個,,291
吉事漢堡,1個,,310
向日葵仁,,100克,558
地瓜白心,,100克,64
地瓜芋圓甜湯,1碗,220,
地瓜紅心,,90克,99
地瓜酥,1個,,50
早晨全餐,1份,,510
朱古力奶,,100ml,73
朱古力班戟,1份,,391
朱古力新地,1杯,,340
百吉布丁雪糕,1個,200,
百崴啤酒,1罐,350ml,142
竹筍去皮,,3兩,25
米、小米、糯米…等,1/10杯,20克,70 大卡
米粉、冬粉,1把,40克,140
米粉湯,1碗,,185
羊奶,1杯,240克,170
羊奶,1瓶,200cc,133
羊肉前腿,,100克,111
羊肉後腿,,100克,102
羊排大 瘦+燒,1件,60克,135
羊排小 半肥瘦+燒,2件,90克,335
羊腿肉--去肥肉,1片,71克,130
羊腿肉--帶肥肉,4片,85克,235
老婆餅,1個,,250
肉包,1個,,200
肉桂捲,110,,275
肉脯,,15克,73
肉絲炒麵,1碟,,740
肉絲麵,1碗,,440
肉絲麵,1碗,,400
肉絲麵1碗,,,440
肉圓,1個,,495
肉燥米粉,1包,65克,254
肉醬意粉,1碟,,704
肉鬆三明治,1個,,330
肉鬆蛋三明治,1份,,346
肉鬆麵包,100,,340
肉鬆麵包,1個,,270
肉鬆麵包,1個,,360
肉羹米粉,1碗,,350
肋條,,100克,206
西瓜100%純汁,,200cc,70
西瓜雪泡珍珠,,475克,144
西炒飯,1碟,,907
西炒飯,1碟,,710
西柚,半個,,50
西洋菜,,100克,25 大卡
西梅,1粒,,22
西梅,1個,,45
伯朗咖啡,1瓶,250cc,107
伯朗咖啡,1罐,,100
伯朗咖啡錠,8粒,15.2克,62.4
伯朗金典咖啡,1瓶,250cc,123
伯爵紅茶司康,1個,,490
低脂牛奶,1杯,240c.c.,40
低脂牛奶脂肪 1%,1杯,244克,100
低脂牛奶脂肪 2%,1杯,244克,120
低脂奶,1杯,240毫升,120 大卡
低脂奶粉,3湯匙,25克,120 大卡
低脂奶粉,3湯匙,25克,120
低脂奶粉,3湯匙,,120
低脂奶精,1大匙,,30
低脂乳酪,1杯,,80
低脂鮮乳,1瓶,240cc,110
低糖高鈣低脂奶牛奶公司,,100ml,46
克林姆麵包,80,,200
免治牛肉 生-半肥瘦,,100克,260
免治牛肉 生-淨瘦,,100克,160
冷凍豬肉韭菜水餃,10個,112克,255
利口樂瑞士爽喉糖,10顆,40克,150
利口樂薄荷香草健怡糖,1包,40克,40
即食麵,1個,100克,450
吞拿魚飯團7-Eleven,1件,,200
吞拿魚壽司,1件,,80
杏,1個,,17
杏子,,100克,40
杏仁30g,15粒,,170
杏仁巧克力球,,40克,227
杏仁瓦片,1片,,66
杏仁豆腐,1杯,,122
杏梅,1個,,45
杜老爺低脂冰淇淋,1盒,,356
杜老爺高級甜筒,1支,,250
杜老爺翡冷翠卡布其諾冰沙,1杯,,235
杜老爺翡冷翠卡布其諾慕斯,1杯,,220
杜老爺曠世奇派,1支,,280
杜老爺曠世甜筒,1支,,300
每日C100%柳橙原汁,1瓶,220ml,112.2
每日C100%葡萄柚原汁,1瓶,220ml,108
每日C100%葡萄原汁,1瓶,220ml,147.4
每日C葡萄柚原汁,1瓶,450cc,221
沙律汁 法式,1湯匙,,60
沙律醬 千島,1湯匙,,120
沙朗牛排--去肥肉,1片,56克,115
沙朗牛排--帶肥肉,1片,85克,330
沙爹,,1000ml,450
沙爹牛肉麵,1碗,,605
沙茶豆乾,1份,100克,270
沙琪瑪,1塊,,100
沙琪瑪,,20克,98
肝連肉 ,,100克,253
芋球,1個,,165
芋頭牛奶冰棒,1個,200,
芋頭麻糬冰,1個,170,
芋頭酥,1個,,225
芋頭糕,,100克,125
芋頭蕃薯冰,1個,140,
芒果沙冰,,316克,132
芒果慕斯,1個,,310
芒椰奶昔許留山,,300 ml,115.2
角菜,,100克,25 大卡
豆沙包,1個,85克,204
豆沙包,1個,,202
豆枝,,20克,75
豆枝,,20克,75 大卡
豆腐孔,1塊半,45克,73
豆腐泡,1 件,,20
豆腐花,1碗,,82
豆腐津白連材料計,,1000ml,209
豆腐乾,,100克,140
豆簽 另多含醣10g,,50克,146
豆簽另多含醣10g,,50克,146
赤貝壽司,1件,,50
車厘子乾點點綠,,50克,130
車厘茄乾,半碗,,160
乖乖,1包,,130
乖乖 5香,1包,65克,260
乖乖 奶油椰子,1包,65克,276
乳果,1罐,,65
乳酪蛋糕,1個,,395
乳酪麵包,1個,85克,270
京水菜,,100克,25 大卡
兔肉,,100克,128
味全果汁牛奶,1罐,250ml,153
和風醬,1大匙,15克,12
咖哩牛肉乾豬肉乾,1塊,,"162, 95"
咖哩飯,1盤,,631
咖哩飯,1份,,640
咖哩餃,1個,,245
咖哩豬排飯,1碟,,791
咖啡牛奶,,250cc,145
咖啡伴侶 heaped,2茶匙,,45
咖啡凍,,,78
咖喱牛肉飯,,250克,614
咖喱雞飯,1碟,,764
固力果沙律百力滋,6支,,45
奄列雞蛋飯,1碟,,896
奇檬子,1罐,350ml,161
奇寶巧克力豆酥餅,1包,43克,150
孟宗筍,,100克,25 大卡
披薩 9吋,1/ 8片,,265
旺旺仙貝,1包,120克,420
旺旺仙貝,2塊,,35
明志宇治金時,1支,,114
明志角10棒,1支,,40
杯麵,1碗,,480
松子果仁30g,1.5湯匙,,175
松阪肉,,100克,140
果汁+水果粒,1個,,90
果汁冰棒,1隻,,80
果汁乳酪,1杯,,278
果汁果凍,,,13
果汁調味乳,1瓶,240cc,125
果汁糖,5粒,,81
果汁糖,6塊,,150
果凍,1杯,,100
果凍 Jelly,1杯,,162
枝竹,,20 克,77
油角,1個,,100
油角,1隻,,130
油柑,6個,120克,60 大卡
油炸花生,18粒,10克,63
油煎,1個,46克,85
油煎豆腐 三角形,3個半,85克,73
油煎豆腐三角形,3個半,85克,73
法國雞油菇,,100克,38
泡沫奶茶,1罐,350ml,165
泡沫紅茶,,310克,88
泡沫紅茶,1杯,,60
泡芙,,,206
波卡洋芋片,1包,50克,350
波爾口香糖 無糖,8片,23克,39.2
波爾口香糖 薄荷,8片,23克,68
波爾口香糖 檸檬,8片,23克,70.4
波爾口香糖 藍莓,8片,23克,64
波爾葡萄錠,8粒,15.2克,60.8
波爾檸檬錠,8粒,15.2克,62.4
波爾藍莓優格錠,8粒,15.2克,64
波蘿奶酥,1個,122克,188
炒牛肉片,1片,250克,300
炒米粉,1碗,,275
炒花生仁,,100克,581
炒蛋,1個,64克,95
炒蛋,1個,,95
炒蛋,,100克,257
炒貴刁,1碟,,1283
炒飯,1份,300克,550
炒飯,1盤,,665
炒麵,1碟,,911
玫瑰豬油年糕,,100克,290
肩胛里肌,,100克,126.8
肯得基炸雞腿,,,257
肯得基炸雞腿棒棒腿,,,117
芝士片processed,2片,,160
芝士高鈣低脂,1片,21克,46
芝士圈25g,1包,,125
芝士漢堡,1個,,320
芝士辣肉腸班戟,1份,,331
芝士cheddar,1吋,30克,122
芝多司,1包,75克,360
芝麻八爪魚飯團7-Eleven,1件,,155
芝麻包,1個,80克,280
芝麻蛋捲,1個,,115
芝麻湯圓,1粒,20克,73
芝麻湯圓,1個,20克,69
芬達,1罐,350ml,115
芬達汽水,,355 ml,115
芬達葡萄汽水,1罐,,190
芭樂乾,1包,,88
花生仁湯,1碗,,100
花生仁湯,1碗,580,
花生豆花,1碗,,180
花生厚片吐司,1塊,,275
花生湯圓,1粒,20克,70
花生醬一大匙,,,93
花枝丸,2個,,89
花枝餃,6個,,92
花枝羹,1根,,30
花捲,,100克,217
花菜,1杯,125克,30
花菜,,100克,25
花壽司,2片,,145
花蓮薯,1個,,120
虱目魚、烏魚、肉鯽、鹹馧魚,,35克,75 大卡
虱目魚丸,3個,,100
虱目魚丸、花枝丸,,50克,75 大卡
虱目魚丸+7g醣類,,50克,75
金牛角,,,520
金牛角,1包,40克,217
金牛角餅乾,,30克,162
金牛角麵包,85,,355
金沙巧克力,2粒,,160
金車高健C檸檬水,1瓶,350cc,71
金車健酪飲料,1瓶,350cc,136
金桔青檸,,352克,124
金莎巧克力,3個,45克,240
金莎巧克力,,40克,233
金蛋麵,1碗,,215
金釣蝦,,10克,73
金絲菇,,100克,25 大卡
金菇,,100克,34
金黃芒果,,140克,60
金槍魚壽司,1件,,48
金寶茄汁焗豆227g,1罐,,245
青、白、黃箭口香糖,7片,21克,90
青箭口香糖,7片,,70
青蔥樂 仙跡岩,,300 ml,193.6
保力達-B,1瓶,,705
保鮮裝奶,,100ml,62
冠寶捲心酥 原味起士,1包,,350
前後腿瘦肉,,100克,114
南瓜米粉台式,1碟,,269
南瓜籽,,50克,140
品客薯片綠色,1罐,,1072
品客薯片銀色,1罐,,840
品客Pringles波浪,1罐,190克,900
品客Pringles洋蔥,1罐,190克,1072
品客Pringles原味,1罐,190克,900
扁蒲,,100克,25 大卡
星州炒米,1碟,,1894
春卷,1條,,149
春捲,,100克,463
柚子綠茶道地,,500 ml,148.8
柳橙 中,1個,,50
